Broj izvještaja,Broj naloga,Datum izdavanja,Status verifikacije,Zahtjev za verifikaciju,Metoda,Vrsta,Proizvođač,Uređaj,Serijski broj,Verifikacija ispravna,Spoljašnji pregled 1,Spoljašnji pregled 2,Spoljašnji pregled 3,Spoljašnji pregled 4,VERIFIKACIJA GREŠKE MJERILA:,1: Zadana vrijednost [ml],1: Mjerena vrijednost [ml],1: Greška mjerenja [ % ],1: Dozvoljeno odstupanje  [ ± % ],1: Usklađeno,2: Zadana vrijednost [ml],2: Mjerena vrijednost [ml],2: Greška mjerenja [ % ],2: Dozvoljeno odstupanje  [ ± % ],2: Usklađeno,3: Zadana vrijednost [ml],3: Mjerena vrijednost [ml],3: Greška mjerenja [ % ],3: Dozvoljeno odstupanje  [ ± % ],3: Usklađeno,4: Zadana vrijednost [ml],4: Mjerena vrijednost [ml],4: Greška mjerenja [ % ],4: Dozvoljeno odstupanje  [ ± % ],4: Usklađeno,5: Zadana vrijednost [ml],5: Mjerena vrijednost [ml],5: Greška mjerenja [ % ],5: Dozvoljeno odstupanje  [ ± % ],5: Usklađeno,6: Zadana vrijednost [ml],6: Mjerena vrijednost [ml],6: Greška mjerenja [ % ],6: Dozvoljeno odstupanje  [ ± % ],6: Usklađeno,VERIFIKACIJA GREŠKE MJERILA:,19: Zadana vrijednost [%],19: Mjerena vrijednost [%],19: Greška mjerenja [ % ],19: Dozvoljeno odstupanje  [ ± % ],19: Usklađeno,20: Zadana vrijednost [%],20: Mjerena vrijednost [%],20: Greška mjerenja [ % ],20: Dozvoljeno odstupanje  [ ± % ],20: Usklađeno,21: Zadana vrijednost [%],21: Mjerena vrijednost [%],21: Greška mjerenja [ % ],21: Dozvoljeno odstupanje  [ ± % ],21: Usklađeno,22: Zadana vrijednost [%],22: Mjerena vrijednost [],22: Greška mjerenja [ % ],22: Dozvoljeno odstupanje  [ ± % ],22: Usklađeno,23: Zadana vrijednost [%],23: Mjerena vrijednost [%],23: Greška mjerenja [ % ],23: Dozvoljeno odstupanje  [ ± % ],23: Usklađeno,Napomena
1850/19,1850/VL/19,31.5.2019.,Zavrsena,Narudžbenica od 10.05.2019.,Komparativna,Redovna,Drager,SULA,000888,DA,DA,DA,DA,DA,Volumen,"200,00","187,00","6,50","10,00",DA,"300,00","283,00","5,67","10,00",DA,"400,00","376,00","6,00","10,00",DA,"500,00","478,00","4,40","10,00",DA,"600,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,"700,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,Koncentracija anestezioloških gasova,"1,00","0,54","0,46","1,00",DA,"2,00","1,43","0,57","1,00",DA,"3,00","2,69","0,31","1,00",DA,"4,00","3,15","0,85","1,00",DA,"5,00",NIJE MJERENO,NIJE MJERENO,"1,00",NE,
1841/19,1841/VL/19,30.5.2019.,Zavrsena,Ugovor br. 01-380/19 OD 20.05.2019.,Komparativna,Redovna,Drager,Fabius Tiro,ASGJ0127,DA,DA,DA,DA,DA,Volumen,"200,00","203,00","1,50","10,00",DA,"300,00","305,00","1,67","10,00",DA,"400,00","405,00","1,25","10,00",DA,"500,00","501,00","0,20","10,00",DA,"600,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,"700,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,Koncentracija anestezioloških gasova,"1,00","0,63","0,37","1,00",DA,"2,00","1,40","0,60","1,00",DA,"3,00","2,34","0,66","1,00",DA,"4,00","3,37","0,63","1,00",DA,"5,00",NIJE MJERENO,NIJE MJERENO,"1,00",NE,
1744/19,1744/VL/19,24.5.2019.,Zavrsena,Ugovor br. 20/1-349 OD 11.01.2019.,Komparativna,Redovna,Drager,Fabius,ARUB-0038,DA,DA,DA,DA,DA,Volumen,"200,00","200,00","0,00","10,00",DA,"300,00","300,00","0,00","10,00",DA,"400,00","400,00","0,00","10,00",DA,"500,00","500,00","0,00","10,00",DA,"600,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,"700,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,Koncentracija anestezioloških gasova,"1,00","1,00","0,00","1,00",DA,"2,00","2,00","0,00","1,00",DA,"3,00","3,00","0,00","1,00",DA,"4,00","4,00","0,00","1,00",DA,"5,00",NIJE MJERENO,NIJE MJERENO,"1,00",NE,
1745/19,1745/VL/19,24.5.2019.,Zavrsena,Ugovor br. 20/1-349 OD 11.01.2019.,Komparativna,Redovna,Drager,Fabius,ARTE-0030,DA,DA,DA,DA,DA,Volumen,"200,00","202,00","1,00","10,00",DA,"300,00","303,00","1,00","10,00",DA,"400,00","405,00","1,25","10,00",DA,"500,00","502,00","0,40","10,00",DA,"600,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,"700,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,Koncentracija anestezioloških gasova,"1,00","1,00","0,00","1,00",DA,"2,00","2,00","0,00","1,00",DA,"3,00","3,00","0,00","1,00",DA,"4,00","4,00","0,00","1,00",DA,"5,00",NIJE MJERENO,NIJE MJERENO,"1,00",NE,
1746/19,1746/VL/19,24.5.2019.,Zavrsena,Ugovor br. 20/1-349 OD 11.01.2019.,Komparativna,Redovna,Heinen Lowenstein,Leon plus neo,0200010H4231708558,DA,DA,DA,DA,DA,Volumen,"200,00","201,00","0,50","10,00",DA,"300,00","302,00","0,67","10,00",DA,"400,00","402,00","0,50","10,00",DA,"500,00","504,00","0,80","10,00",DA,"600,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,"700,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,Koncentracija anestezioloških gasova,"1,00","1,00","0,00","1,00",DA,"2,00","2,00","0,00","1,00",DA,"3,00","3,00","0,00","1,00",DA,"4,00","4,00","0,00","1,00",DA,"5,00",NIJE MJERENO,NIJE MJERENO,"1,00",NE,
1753/19,1753/VL/19,24.5.2019.,Zavrsena,Ugovor br. 20/1-349 OD 11.01.2019.,Komparativna,Redovna,Drager,FABIUS PLUS,ASHJ-0168,DA,DA,DA,DA,DA,Volumen,"200,00","200,00","0,00","10,00",DA,"300,00","300,00","0,00","10,00",DA,"400,00","400,00","0,00","10,00",DA,"500,00","500,00","0,00","10,00",DA,"600,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,"700,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,Koncentracija anestezioloških gasova,"1,00","1,00","0,00","1,00",DA,"2,00","2,00","0,00","1,00",DA,"3,00","3,00","0,00","1,00",DA,"4,00","4,00","0,00","1,00",DA,"5,00",NIJE MJERENO,NIJE MJERENO,"1,00",NE,
1755/19,1755/VL/19,24.5.2019.,Zavrsena,Ugovor br. 20/1-349 OD 11.01.2019.,Komparativna,Redovna,Drager,Primus,ARWA-0089,DA,DA,DA,DA,DA,Volumen,"200,00","200,00","0,00","10,00",DA,"300,00","300,00","0,00","10,00",DA,"400,00","400,00","0,00","10,00",DA,"500,00","500,00","0,00","10,00",DA,"600,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,"700,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,Koncentracija anestezioloških gasova,"1,00","1,00","0,00","1,00",DA,"2,00","2,00","0,00","1,00",DA,"3,00","3,00","0,00","1,00",DA,"4,00","4,00","0,00","1,00",DA,"5,00",NIJE MJERENO,NIJE MJERENO,"1,00",NE,
1757/19,1757/VL/19,24.5.2019.,Zavrsena,Ugovor br. 20/1-349 OD 11.01.2019.,Komparativna,Redovna,Drager,PRIMUS,ASHJ-0011,DA,DA,DA,DA,DA,Volumen,"200,00","200,00","0,00","10,00",DA,"300,00","300,00","0,00","10,00",DA,"400,00","400,00","0,00","10,00",DA,"500,00","500,00","0,00","10,00",DA,"600,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,"700,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,Koncentracija anestezioloških gasova,"1,00","1,00","0,00","1,00",DA,"2,00","2,00","0,00","1,00",DA,"3,00","3,00","0,00","1,00",DA,"4,00","4,00","0,00","1,00",DA,"5,00",NIJE MJERENO,NIJE MJERENO,"1,00",NE,
1757/19,1757/VL/19,24.5.2019.,Zavrsena,Ugovor br. 20/1-349 OD 11.01.2019.,Komparativna,Redovna,Drager,Fabius,ASHJ-0166,DA,DA,DA,DA,DA,Volumen,"200,00","200,00","0,00","10,00",DA,"300,00","300,00","0,00","10,00",DA,"400,00","400,00","0,00","10,00",DA,"500,00","500,00","0,00","10,00",DA,"600,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,"700,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,Koncentracija anestezioloških gasova,"1,00","1,00","0,00","1,00",DA,"2,00","2,00","0,00","1,00",DA,"3,00","3,00","0,00","1,00",DA,"4,00","4,00","0,00","1,00",DA,"5,00",NIJE MJERENO,NIJE MJERENO,"1,00",NE,
1748/19,1748/VL/19,24.5.2019.,Zavrsena,Ugovor br. 20/1-349 OD 11.01.2019.,Komparativna,Redovna,Heinen Lowenstein,Leon plus neo,020001h4230908085,DA,DA,DA,DA,DA,Volumen,"200,00","200,00","0,00","10,00",DA,"300,00","300,00","0,00","10,00",DA,"400,00","400,00","0,00","10,00",DA,"500,00","500,00","0,00","10,00",DA,"600,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,"700,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,Koncentracija anestezioloških gasova,"1,00","1,00","0,00","1,00",DA,"2,00","2,00","0,00","1,00",DA,"3,00","3,00","0,00","1,00",DA,"4,00","4,00","0,00","1,00",DA,"5,00",NIJE MJERENO,NIJE MJERENO,"1,00",NE,
1750/19,1750/VL/19,24.5.2019.,Zavrsena,Ugovor br. 20/1-349 OD 11.01.2019.,Komparativna,Redovna,Heinen Lowenstein,Leon plus neo,020001h4230908084,DA,DA,DA,DA,DA,Volumen,"200,00","200,00","0,00","10,00",DA,"300,00","300,00","0,00","10,00",DA,"400,00","400,00","0,00","10,00",DA,"500,00","500,00","0,00","10,00",DA,"600,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,"700,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,Koncentracija anestezioloških gasova,"1,00","1,00","0,00","1,00",DA,"2,00","2,00","0,00","1,00",DA,"3,00","3,00","0,00","1,00",DA,"4,00","4,00","0,00","1,00",DA,"5,00",NIJE MJERENO,NIJE MJERENO,"1,00",NE,
1610/19,1610/VL/19,13.5.2019.,Zavrsena,Narudžbenica od 02.04.2019.,Komparativna,Redovna,Drager,Fabius Tiro,ARZK-0076,DA,DA,DA,DA,DA,Volumen,"200,00","186,00","7,00","10,00",DA,"300,00","284,00","5,33","10,00",DA,"400,00","381,00","4,75","10,00",DA,"500,00","476,00","4,80","10,00",DA,"600,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,"700,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,Koncentracija anestezioloških gasova,"1,00","0,91","0,09","1,00",DA,"2,00","1,48","0,52","1,00",DA,"3,00","2,70","0,30","1,00",DA,"4,00","3,80","0,20","1,00",DA,"5,00",NIJE MJERENO,NIJE MJERENO,"1,00",NE,
1585/19,1585/VL/19,10.5.2019.,Zavrsena,Narudžbenica od 06.05.2019.,Komparativna,Redovna,Mindray,WATO EX - 35,KG-93003637,DA,DA,DA,DA,DA,Volumen,"200,00","209,00","4,50","10,00",DA,"300,00","273,00","9,00","10,00",DA,"400,00","362,00","9,50","10,00",DA,"500,00","462,00","7,60","10,00",DA,"600,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,"700,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,Koncentracija anestezioloških gasova,"1,00","0,88","0,12","1,00",DA,"2,00","2,13","0,13","1,00",DA,"3,00","3,20","0,20","1,00",DA,"4,00","3,97","0,03","1,00",DA,"5,00",NIJE MJERENO,NIJE MJERENO,"1,00",NE,
1586/19,1586/VL/19,10.5.2019.,Zavrsena,Ugovor br. 20/1-349 od 11.01.2019.,Komparativna,Redovna,Drager,FABIUS+,ASHJ-0165,DA,DA,DA,DA,DA,Volumen,"200,00","205,00","2,50","10,00",DA,"300,00","308,00","2,67","10,00",DA,"400,00","411,00","2,75","10,00",DA,"500,00","510,00","2,00","10,00",DA,"600,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,"700,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,Koncentracija anestezioloških gasova,"1,00","0,48","0,52","1,00",DA,"2,00","1,34","0,66","1,00",DA,"3,00","2,12","0,88","1,00",DA,"4,00","3,07","0,93","1,00",DA,"5,00",NIJE MJERENO,NIJE MJERENO,"1,00",NE,
1587/19,1587/VL/19,10.5.2019.,Zavrsena,Ugovor br. 20/1-349 od 11.01.2019.,Komparativna,Redovna,Drager,FABIUS+,ASHJ-0167,DA,DA,DA,DA,DA,Volumen,"200,00","198,00","1,00","10,00",DA,"300,00","303,00","1,00","10,00",DA,"400,00","402,00","0,50","10,00",DA,"500,00","501,00","0,20","10,00",DA,"600,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,"700,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,Koncentracija anestezioloških gasova,"1,00","0,85","0,15","1,00",DA,"2,00","1,73","0,27","1,00",DA,"3,00","2,46","0,54","1,00",DA,"4,00","3,35","0,65","1,00",DA,"5,00",NIJE MJERENO,NIJE MJERENO,"1,00",NE,
1588/19,1588/VL/19,10.5.2019.,Zavrsena,Ugovor br. 20/1-349 od 11.01.2019.,Komparativna,Redovna,Drager,PRIMUS,ASHJ-0010,DA,DA,DA,DA,DA,Volumen,"200,00","183,00","8,50","10,00",DA,"300,00","290,00","3,33","10,00",DA,"400,00","387,00","3,25","10,00",DA,"500,00","482,00","3,60","10,00",DA,"600,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,"700,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,Koncentracija anestezioloških gasova,"1,00","0,30","0,70","1,00",DA,"2,00","1,43","0,57","1,00",DA,"3,00","2,52","0,48","1,00",DA,"4,00","3,36","0,64","1,00",DA,"5,00",NIJE MJERENO,NIJE MJERENO,"1,00",NE,
1589/19,1589/VL/19,10.5.2019.,Zavrsena,Ugovor br. 20/1-349 od 11.01.2019.,Komparativna,Redovna,Drager,Fabius,ARUB-0033,DA,DA,DA,DA,DA,Volumen,"200,00","187,00","6,50","10,00",DA,"300,00","287,00","4,33","10,00",DA,"400,00","387,00","3,25","10,00",DA,"500,00","485,00","3,00","10,00",DA,"600,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,"700,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,Koncentracija anestezioloških gasova,"1,00","0,67","0,33","1,00",DA,"2,00","1,40","0,60","1,00",DA,"3,00","2,28","0,72","1,00",DA,"4,00","3,52","0,48","1,00",DA,"5,00",NIJE MJERENO,NIJE MJERENO,"1,00",NE,
1515/19,1515/VL/19,26.4.2019.,Zavrsena,Narudzbenica br. 0312-2019-2 od 10.04.2019.,Komparativna,Redovna,MEDEC BENELUX,NEPTUNE,43814,DA,DA,DA,DA,DA,Volumen,"200,00","194,00","3,00","10,00",DA,"300,00","305,00","1,67","10,00",DA,"400,00","396,00","1,00","10,00",DA,"500,00","491,00","1,80","10,00",DA,"600,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,"700,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,Koncentracija anestezioloških gasova,"1,00","0,82","0,18","1,00",DA,"2,00","1,69","0,31","1,00",DA,"3,00","2,44","0,56","1,00",DA,"4,00","3,30","0,70","1,00",DA,"5,00",NIJE MJERENO,NIJE MJERENO,"1,00",NE,
1633/19,1633/VL/19,16.4.2019.,Zavrsena,Ugovor br. 56/19 od 01.04.2019.,Komparativna,Redovna,GE - General Electric,CARESTATION 650 A1,717500008WA,DA,DA,DA,DA,DA,Volumen,"200,00","207,00","3,50","10,00",DA,"300,00","288,00","4,00","10,00",DA,"400,00","363,00","9,25","10,00",DA,"500,00","452,00","9,60","10,00",DA,"600,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,"700,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,Koncentracija anestezioloških gasova,"1,00","0,68","0,32","1,00",DA,"2,00","1,53","0,47","1,00",DA,"3,00","2,56","0,44","1,00",DA,"4,00","3,63","0,37","1,00",DA,"5,00",NIJE MJERENO,NIJE MJERENO,"1,00",NE,
1411/19,1411/VL/19,16.4.2019.,Zavrsena,Ugovor br. 56/19 od 01.04.2019.,Komparativna,Redovna,GE Datex Ohmeda,Aespire,ANCM00713,DA,DA,DA,DA,DA,Volumen,"200,00","206,00","3,00","10,00",DA,"300,00","293,00","2,33","10,00",DA,"400,00","370,00","7,50","10,00",DA,"500,00","469,00","6,20","10,00",DA,"600,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,"700,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,Koncentracija anestezioloških gasova,"1,00","0,92","0,08","1,00",DA,"2,00","1,97","0,03","1,00",DA,"3,00","2,79","0,21","1,00",DA,"4,00","3,63","0,37","1,00",DA,"5,00",NIJE MJERENO,NIJE MJERENO,"1,00",NE,
1415/19,1415/VL/19,16.4.2019.,Zavrsena,Ugovor br. 56/19 od 01.04.2019.,Komparativna,Redovna,GE - General Electric,SPACECARESTATION 650 A1,717500010WA,DA,DA,DA,DA,DA,Volumen,"200,00","181,00","9,50","10,00",DA,"300,00","273,00","9,00","10,00",DA,"400,00","385,00","3,75","10,00",DA,"500,00","504,00","0,80","10,00",DA,"600,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,"700,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,Koncentracija anestezioloških gasova,"1,00","0,89","0,11","1,00",DA,"2,00","1,72","0,28","1,00",DA,"3,00","2,45","0,55","1,00",DA,"4,00","3,67","0,33","1,00",DA,"5,00",NIJE MJERENO,NIJE MJERENO,"1,00",NE,
1420/19,1420/VL/19,16.4.2019.,Zavrsena,Ugovor br. 56/19 od 01.04.2019.,Komparativna,Redovna,GE - General Electric,CARESTATION 650 A1,17500009WA,DA,DA,DA,DA,DA,Volumen,"200,00","210,00","5,00","10,00",DA,"300,00","312,00","4,00","10,00",DA,"400,00","402,00","0,50","10,00",DA,"500,00","506,00","1,20","10,00",DA,"600,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,"700,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,Koncentracija anestezioloških gasova,"1,00","0,73","0,27","1,00",DA,"2,00","1,46","0,54","1,00",DA,"3,00","2,43","0,57","1,00",DA,"4,00","3,41","0,59","1,00",DA,"5,00",NIJE MJERENO,NIJE MJERENO,"1,00",NE,
1422/19,1422/VL/19,16.4.2019.,Zavrsena,Ugovor br. 56/19 od 01.04.2019.,Komparativna,Redovna,GE - General Electric,CARESTATION 650 A1,SM71500010WA,DA,DA,DA,DA,DA,Volumen,"200,00","187,00","6,50","10,00",DA,"300,00","271,00","9,67","10,00",DA,"400,00","379,00","5,25","10,00",DA,"500,00","515,00","3,00","10,00",DA,"600,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,"700,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,Koncentracija anestezioloških gasova,"1,00","0,68","0,32","1,00",DA,"2,00","1,80","0,20","1,00",DA,"3,00","2,41","0,59","1,00",DA,"4,00","3,05","0,95","1,00",DA,"5,00",NIJE MJERENO,NIJE MJERENO,"1,00",NE,
1364/19,1364/VL/19,12.4.2019.,Zavrsena,Narudžbenica od 05.04.2019.,Komparativna,Redovna,Mindray,WATO EX-55 PRO,KY-7S000198,DA,DA,DA,DA,DA,Volumen,"200,00","202,00","1,00","10,00",DA,"300,00","304,00","1,33","10,00",DA,"400,00","376,00","6,00","10,00",DA,"500,00","478,00","4,40","10,00",DA,"600,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,"700,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,Koncentracija anestezioloških gasova,"1,00","1,11","0,11","1,00",DA,"2,00","1,89","0,11","1,00",DA,"3,00","2,43","0,57","1,00",DA,"4,00","4,02","0,02","1,00",DA,"5,00",NIJE MJERENO,NIJE MJERENO,"1,00",NE,
1343/19,1343/VL/19,10.4.2019.,Zavrsena,Ugovor br. 5874/19 of 22.03.2019.,Komparativna,Redovna,Maquet,Flow-i,2973,DA,DA,DA,DA,DA,Volumen,"200,00","202,00","1,00","10,00",DA,"300,00","292,00","2,67","10,00",DA,"400,00","383,00","4,25","10,00",DA,"500,00","478,00","4,40","10,00",DA,"600,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,"700,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,Koncentracija anestezioloških gasova,"1,00","0,65","0,35","1,00",DA,"2,00","1,61","0,39","1,00",DA,"3,00","2,55","0,45","1,00",DA,"4,00","3,40","0,60","1,00",DA,"5,00",NIJE MJERENO,NIJE MJERENO,"1,00",NE,
1345/19,1345/VL/19,10.4.2019.,Zavrsena,Ugovor br. 5874/19 of 22.03.2019.,Komparativna,Redovna,GE Datex Ohmeda,Aespire,ANCM00712,DA,DA,DA,DA,DA,Volumen,"200,00","202,00","1,00","10,00",DA,"300,00","272,00","9,33","10,00",DA,"400,00","392,00","2,00","10,00",DA,"500,00","459,00","8,20","10,00",DA,"600,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,"700,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,Koncentracija anestezioloških gasova,"1,00","0,67","0,33","1,00",DA,"2,00","1,46","0,54","1,00",DA,"3,00","2,62","0,38","1,00",DA,"4,00","3,78","0,22","1,00",DA,"5,00",NIJE MJERENO,NIJE MJERENO,"1,00",NE,
1350/19,1350/VL/19,10.4.2019.,Zavrsena,Ugovor br. 5874/19 of 22.03.2019.,Komparativna,Redovna,GE Datex Ohmeda,Aespire,ANCM00714,DA,DA,DA,DA,DA,Volumen,"200,00","199,00","0,50","10,00",DA,"300,00","297,00","1,00","10,00",DA,"400,00","385,00","3,75","10,00",DA,"500,00","464,00","7,20","10,00",DA,"600,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,"700,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,Koncentracija anestezioloških gasova,"1,00","0,84","0,16","1,00",DA,"2,00","1,78","0,22","1,00",DA,"3,00","3,07","0,07","1,00",DA,"4,00","4,63","0,63","1,00",DA,"5,00",NIJE MJERENO,NIJE MJERENO,"1,00",NE,
1351/19,1351/VL/19,10.4.2019.,Zavrsena,Ugovor br. 5874/19 of 22.03.2019.,Komparativna,Redovna,Marquette,Flow-i,2972,DA,DA,DA,DA,DA,Volumen,"200,00","189,00","5,50","10,00",DA,"300,00","283,00","5,67","10,00",DA,"400,00","381,00","4,75","10,00",DA,"500,00","467,00","6,60","10,00",DA,"600,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,"700,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,Koncentracija anestezioloških gasova,"1,00","0,82","0,18","1,00",DA,"2,00","1,53","0,47","1,00",DA,"3,00","2,32","0,68","1,00",DA,"4,00","3,44","0,56","1,00",DA,"5,00",NIJE MJERENO,NIJE MJERENO,"1,00",NE,
1354/19,1354/VL/19,10.4.2019.,Zavrsena,Ugovor br. 5874/19 of 22.03.2019.,Komparativna,Redovna,Marquette,Flow-i,2974,DA,DA,DA,DA,DA,Volumen,"200,00","181,00","9,50","10,00",DA,"300,00","273,00","9,00","10,00",DA,"400,00","360,00","10,00","10,00",DA,"500,00","457,00","8,60","10,00",DA,"600,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,"700,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,Koncentracija anestezioloških gasova,"1,00","0,61","0,39","1,00",DA,"2,00","1,41","0,59","1,00",DA,"3,00","2,31","0,69","1,00",DA,"4,00","3,03","0,97","1,00",DA,"5,00",NIJE MJERENO,NIJE MJERENO,"1,00",NE,
1355/19,1355/VL/19,10.4.2019.,Zavrsena,Ugovor br. 5874/19 of 22.03.2019.,Komparativna,Redovna,GE Datex Ohmeda,ADU,6321387,NE,DA,DA,DA,DA,Volumen,"200,00","137,00","31,50","10,00",NE,"300,00","228,00","24,00","10,00",NE,"400,00","315,00","21,25","10,00",NE,"500,00","382,00","23,60","10,00",NE,"600,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,"700,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,Koncentracija anestezioloških gasova,"1,00","0,33","0,67","1,00",DA,"2,00","1,51","0,49","1,00",DA,"3,00","1,94","1,06","1,00",NE,"4,00","2,66","1,34","1,00",NE,"5,00",NIJE MJERENO,NIJE MJERENO,"1,00",NE,
1304/19,1304/VL/19,4.4.2019.,Zavrsena,Narudžbenica od 02.04.2019.,Komparativna,Redovna,Mindray,WATO EX - 55,ES-23000106,DA,DA,DA,DA,DA,Volumen,"200,00","192,00","4,00","10,00",DA,"300,00","281,00","6,33","10,00",DA,"400,00","362,00","9,50","10,00",DA,"500,00","509,00","1,80","10,00",DA,"600,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,"700,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,Koncentracija anestezioloških gasova,"1,00","0,95","0,05","1,00",DA,"2,00","1,40","0,60","1,00",DA,"3,00","2,36","0,64","1,00",DA,"4,00","3,67","0,33","1,00",DA,"5,00",NIJE MJERENO,NIJE MJERENO,"1,00",NE,
1264/19,1264/VL/19,2.4.2019.,Zavrsena,01/6JN-1/15-19,Komparativna,Redovna,Heinen Lowenstein,SINUS,SAG5587,DA,DA,DA,DA,DA,Volumen,"200,00","209,00","4,50","10,00",DA,"300,00","317,00","5,67","10,00",DA,"400,00","425,00","6,25","10,00",DA,"500,00","526,00","5,20","10,00",DA,"600,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,"700,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,Koncentracija anestezioloških gasova,"1,00","0,67","0,33","1,00",DA,"2,00","1,30","0,70","1,00",DA,"3,00","2,24","0,76","1,00",DA,"4,00","3,22","0,78","1,00",DA,"5,00",NIJE MJERENO,NIJE MJERENO,"1,00",NE,
1266/19,1266/VL/19,1.4.2019.,Zavrsena,01/6JN-1/15-19,Komparativna,Redovna,GE - General Electric,AVANCE CS2 PRO,APKU01089,DA,DA,DA,DA,DA,Volumen,"200,00","189,00","5,50","10,00",DA,"300,00","275,00","8,33","10,00",DA,"400,00","365,00","8,75","10,00",DA,"500,00","457,00","8,60","10,00",DA,"600,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,"700,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,Koncentracija anestezioloških gasova,"1,00","0,76","0,24","1,00",DA,"2,00","1,70","0,30","1,00",DA,"3,00","3,03","0,03","1,00",DA,"4,00","3,60","0,40","1,00",DA,"5,00",NIJE MJERENO,NIJE MJERENO,"1,00",NE,
1265/19,1265/VL/19,1.4.2019.,Zavrsena,01/6JN-1/15-19,Komparativna,Redovna,Drager,PRIMUS,ARXH-0240,DA,DA,DA,DA,DA,Volumen,"200,00","190,00","5,00","10,00",DA,"300,00","287,00","4,33","10,00",DA,"400,00","383,00","4,25","10,00",DA,"500,00","478,00","4,40","10,00",DA,"600,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,"700,00",NIJE MJERENO,NIJE MJERENO,"10,00",NE,Koncentracija anestezioloških gasova,"1,00","0,82","0,18","1,00",DA,"2,00","2,10","0,10","1,00",DA,"3,00","2,70","0,30","1,00",DA,"4,00","3,64","0,36","1,00",DA,"5,00",NIJE MJERENO,NIJE MJERENO,"1,00",NE,
